o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
0,25794,O,64449.73,19970305,2-HIGH,Clerk#54,1,Order 0 comment
1,10586,F,21684.84,19971123,5-LOW,Clerk#51,1,Order 1 comment
2,15871,F,53861.19,19960823,1-URGENT,Clerk#96,0,Order 2 comment
3,937,O,130593.95,19971215,5-LOW,Clerk#88,0,Order 3 comment
4,35211,F,278342.48,19940129,5-LOW,Clerk#61,1,Order 4 comment
5,32730,O,45112.24,19941227,3-MEDIUM,Clerk#54,1,Order 5 comment
6,15006,F,204732.36,19940821,1-URGENT,Clerk#71,0,Order 6 comment
7,39672,O,55504.52,19940218,1-URGENT,Clerk#71,0,Order 7 comment
8,2010,P,193131.76,19940523,4-NOT SPECIFIED,Clerk#8,1,Order 8 comment
9,3786,O,156837.04,19960427,4-NOT SPECIFIED,Clerk#3,1,Order 9 comment
10,21193,F,419908.57,19950508,1-URGENT,Clerk#53,1,Order 10 comment
11,14055,F,52081.41,19920913,1-URGENT,Clerk#27,0,Order 11 comment
12,9271,P,229893.45,19980212,5-LOW,Clerk#77,1,Order 12 comment
13,42338,F,281366.07,19971208,4-NOT SPECIFIED,Clerk#8,0,Order 13 comment
14,9721,F,475012.69,19921219,5-LOW,Clerk#70,0,Order 14 comment
15,44275,P,18137.8,19931129,2-HIGH,Clerk#80,1,Order 15 comment
16,38419,F,343890.98,19930419,4-NOT SPECIFIED,Clerk#45,0,Order 16 comment
17,11046,P,336275.15,19940916,5-LOW,Clerk#30,0,Order 17 comment
18,23152,F,407953.28,19950408,5-LOW,Clerk#37,1,Order 18 comment
19,5163,O,434145.93,19920115,4-NOT SPECIFIED,Clerk#68,0,Order 19 comment
20,41157,F,384950.59,19931108,5-LOW,Clerk#89,0,Order 20 comment
21,18981,F,376384.95,19960323,1-URGENT,Clerk#20,1,Order 21 comment
22,21836,F,161440.84,19940330,2-HIGH,Clerk#50,0,Order 22 comment
23,23142,O,253803.06,19980618,4-NOT SPECIFIED,Clerk#30,1,Order 23 comment
24,15781,O,363353.48,19950916,4-NOT SPECIFIED,Clerk#85,1,Order 24 comment
25,43802,P,489686.36,19950721,3-MEDIUM,Clerk#20,1,Order 25 comment
26,25015,F,146735.08,19960714,3-MEDIUM,Clerk#59,1,Order 26 comment
27,4162,P,245538.03,19980228,1-URGENT,Clerk#94,1,Order 27 comment
28,38267,O,100713.75,19960608,1-URGENT,Clerk#93,0,Order 28 comment
29,14225,F,116329.24,19930725,3-MEDIUM,Clerk#43,0,Order 29 comment
30,39730,F,240621.07,19950210,5-LOW,Clerk#24,0,Order 30 comment
31,47148,P,298645.15,19921223,3-MEDIUM,Clerk#35,1,Order 31 comment
32,34690,P,369728.72,19920107,3-MEDIUM,Clerk#32,0,Order 32 comment
33,41116,P,262993.22,19951018,4-NOT SPECIFIED,Clerk#28,1,Order 33 comment
34,15898,O,326932.54,19960303,2-HIGH,Clerk#84,0,Order 34 comment
35,33843,F,195055.35,19980331,5-LOW,Clerk#96,0,Order 35 comment
36,23849,F,466491.78,19981106,2-HIGH,Clerk#89,1,Order 36 comment
37,18195,F,99842.74,19980606,2-HIGH,Clerk#57,0,Order 37 comment
38,45285,P,182953.13,19970831,3-MEDIUM,Clerk#86,0,Order 38 comment
39,42185,P,119717.93,19970827,5-LOW,Clerk#77,0,Order 39 comment
40,13269,F,419939.83,19950714,2-HIGH,Clerk#95,0,Order 40 comment
41,25157,O,474354.88,19940829,1-URGENT,Clerk#42,0,Order 41 comment
42,19676,P,280577.39,19960613,4-NOT SPECIFIED,Clerk#76,0,Order 42 comment
43,18737,P,237166.98,19930714,4-NOT SPECIFIED,Clerk#27,1,Order 43 comment
44,150,O,329318.77,19930104,4-NOT SPECIFIED,Clerk#48,0,Order 44 comment
45,23218,P,223523.55,19930923,1-URGENT,Clerk#15,1,Order 45 comment
46,29847,P,94767.06,19941130,4-NOT SPECIFIED,Clerk#16,1,Order 46 comment
47,13556,F,434751.49,19950219,5-LOW,Clerk#74,0,Order 47 comment
48,30771,F,300593.79,19971230,2-HIGH,Clerk#81,1,Order 48 comment
49,29731,P,90236.15,19940609,5-LOW,Clerk#95,1,Order 49 comment
50,34313,F,51619.69,19931230,3-MEDIUM,Clerk#16,1,Order 50 comment
51,31731,F,78220.41,19971029,4-NOT SPECIFIED,Clerk#70,1,Order 51 comment
52,31908,P,409576.63,19921016,1-URGENT,Clerk#37,1,Order 52 comment
53,35916,O,380695.0,19940525,4-NOT SPECIFIED,Clerk#83,0,Order 53 comment
54,35568,O,72266.22,19930421,2-HIGH,Clerk#23,0,Order 54 comment
55,515,O,169128.29,19960715,4-NOT SPECIFIED,Clerk#90,1,Order 55 comment
56,10764,O,422608.61,19921126,5-LOW,Clerk#5,0,Order 56 comment
57,22550,F,147078.31,19970618,5-LOW,Clerk#23,1,Order 57 comment
58,9485,P,7303.29,19920810,1-URGENT,Clerk#35,0,Order 58 comment
59,9337,P,207403.25,19980512,4-NOT SPECIFIED,Clerk#56,0,Order 59 comment
60,12371,F,34368.37,19981126,3-MEDIUM,Clerk#7,0,Order 60 comment
61,24994,F,413904.19,19940316,4-NOT SPECIFIED,Clerk#47,1,Order 61 comment
62,9647,O,243892.39,19950107,5-LOW,Clerk#97,0,Order 62 comment
63,4708,P,168842.46,19950327,3-MEDIUM,Clerk#71,1,Order 63 comment
64,49145,O,467714.01,19960822,3-MEDIUM,Clerk#8,1,Order 64 comment
65,7405,F,455162.28,19950505,1-URGENT,Clerk#50,0,Order 65 comment
66,3113,P,374929.28,19970818,2-HIGH,Clerk#25,0,Order 66 comment
67,3909,F,234011.46,19960227,1-URGENT,Clerk#89,0,Order 67 comment
68,40403,P,320778.75,19940122,5-LOW,Clerk#23,1,Order 68 comment
69,26517,O,91196.48,19940530,5-LOW,Clerk#48,1,Order 69 comment
70,31466,F,85057.0,19950826,3-MEDIUM,Clerk#3,1,Order 70 comment
71,34103,P,310349.33,19980916,3-MEDIUM,Clerk#20,0,Order 71 comment
72,40236,P,183926.39,19951108,1-URGENT,Clerk#48,0,Order 72 comment
73,7445,F,412977.4,19930112,5-LOW,Clerk#71,0,Order 73 comment
74,49971,P,294188.5,19960711,5-LOW,Clerk#83,0,Order 74 comment
75,33843,F,253977.13,19930513,3-MEDIUM,Clerk#17,1,Order 75 comment
76,4985,O,180750.27,19920418,4-NOT SPECIFIED,Clerk#97,1,Order 76 comment
77,22630,O,246413.32,19980916,2-HIGH,Clerk#35,1,Order 77 comment
